year,sst_aprjul_BristolBay,sst_aprjul_ColumbiaRiver,sst_aprjul_FraserRiver,sst_anom_BristolBay,sst_anom_ColumbiaRiver,sst_anom_FraserRiver
1984,5.851268410682678,12.054589033126831,11.555582046508789,0.24450015552116167,-0.6780282237313013,-0.7967262325864848
1985,4.103607922792435,12.268482685089111,11.865926265716553,-1.5031603323690819,-0.46413457176902106,-0.4863820133787211
1986,4.293108284473419,12.450838565826416,11.95290207862854,-1.3136599706880974,-0.2817786910317164,-0.3994062004667338
1987,5.768152952194214,12.612856149673462,12.169358730316162,0.1613846970326973,-0.11976110718467048,-0.18294954877911174
1988,5.871588349342346,12.518271684646606,12.002808094024658,0.26482009418082963,-0.21434557221152595,-0.34950018507061564
1989,5.350692093372345,12.952309131622314,12.578413486480713,-0.2560761617891716,0.21969187476418206,0.22610520738543904
1990,5.563302576541901,12.745895385742188,12.460647344589233,-0.04346567861961592,0.013278128884055107,0.10833906549395955
1991,5.56310647726059,11.969432592391968,11.832763910293579,-0.04366177790092696,-0.7631846644661646,-0.5195443688016947
1992,5.197712630033493,13.73251724243164,13.161350011825562,-0.4090556251280235,0.9998999855735082,0.8090417327302877
1993,5.852703154087067,13.359548568725586,13.04655146598816,0.2459348989255501,0.6269313118674535,0.6942431868928853
1994,5.565114378929138,12.846726417541504,12.63750958442688,-0.04165387623237837,0.11410916068337151,0.28520130533160604
1995,5.187888652086258,13.440120697021484,13.115184783935547,-0.4188796030752586,0.707503440163352,0.762876504840273
1996,5.587652027606964,12.640903234481812,12.100344181060791,-0.019116227554552445,-0.09171402237632087,-0.25196409803448283
1997,6.3439734280109406,13.636590719223022,13.045072078704834,0.737205172849424,0.9039734623648901,0.6927637996095601
1998,6.23176634311676,13.4045991897583,13.13564920425415,0.6249980879552437,0.6719819329001684,0.7833409251588765
1999,3.3756258487701416,11.820371866226196,11.442471504211426,-2.231142406391375,-0.9122453906319361,-0.9098367748838481
2000,5.518519550561905,12.912529945373535,12.48369812965393,-0.08824870459961165,0.17991268851540276,0.13138985055865682
2001,6.056779623031616,12.08439826965332,11.704925060272217,0.45001136787009965,-0.6482189872048121,-0.647383218823057
2002,6.5381918251514435,11.96170711517334,11.651700973510742,0.9314235699899269,-0.7709101416847925,-0.7006073055845317
2003,6.117218613624573,13.032002687454224,12.809890508651733,0.5104503584630562,0.29938543059609124,0.45758222955645955
2004,6.2225198447704315,13.539613723754883,13.285678148269653,0.615751589608915,0.8069964668967504,0.9333698691743795
2005,6.863881886005402,13.358179807662964,13.144091129302979,1.257113630843885,0.6255625508048315,0.7917828502077047
2006,5.3635267317295074,12.523884296417236,12.168338537216187,-0.2432415234320091,-0.20873296044089606,-0.18396974187908732
2007,5.147193297743797,12.555867671966553,11.94890284538269,-0.45957495741771925,-0.17674958489157966,-0.4034054337125834
2008,4.132083684206009,11.167316436767578,10.762346744537354,-1.4746845709555076,-1.5653008200905543,-1.5899615345579203
2009,4.4400522112846375,11.7968111038208,11.355268001556396,-1.166716043876879,-0.9358061530373316,-0.9970402775388774
2010,4.517939180135727,12.44240117073059,12.098945379257202,-1.0888290750257896,-0.2902160861275416,-0.2533628998380717
2011,4.97808238863945,12.362130403518677,12.0687255859375,-0.6286858665220665,-0.37048685333945564,-0.28358269315777385
2012,3.803842842578888,12.46149206161499,12.007420301437378,-1.8029254125826286,-0.27112519524314216,-0.3448879776578959
2013,5.305785238742828,12.651619911193848,12.378408193588257,-0.3009830164186882,-0.08099734566428474,0.02609991449298299
2014,6.838876903057098,13.103048324584961,12.440690994262695,1.2321086478955818,0.37043106772682854,0.08838271516742147
2015,7.051612854003906,13.640718936920166,13.376975536346436,1.4448445988423897,0.9081016800620336,1.0246672572511617
2016,8.299115121364594,13.786280155181885,13.500998973846436,2.692346866203077,1.0536628983237524,1.1486906947511617
2017,6.503554075956345,13.043886423110962,12.651707887649536,0.896785820794828,0.3112691662528295,0.2993996085542623
2018,6.364234298467636,13.323981761932373,12.965505361557007,0.7574660433061196,0.5913645050742407,0.613197082461733
2019,7.794615209102631,13.077645301818848,12.803886890411377,2.187846953941114,0.34502804496071526,0.4515786113161031
2020,6.697374373674393,12.927444458007812,12.469040870666504,1.0906061185128761,0.1948272011496801,0.11673259157123006
2021,5.85093829035759,12.571558713912964,12.160611391067505,0.24417003519607317,-0.16105854294516853,-0.19169688802776896
2022,5.287018045783043,12.383915185928345,11.879893779754639,-0.31975020937847365,-0.34870207092978767,-0.4724144993406352
2023,4.550619006156921,12.512492179870605,12.199646472930908,-1.0561492490045952,-0.22012507698752692,-0.15266180616436564
2024,4.777003988623619,12.816927671432495,12.543765783309937,-0.8297642665378975,0.08431041457436272,0.19145750421466268
2025,2.2053916454315186,10.914219856262207,10.276473045349121,-3.401376609729998,-1.8183974005959254,-2.0758352337461528
