Model,River_Name,R2_Test,MSE_Test,MAPE_Test,R2_Train,MSE_Train,MAPE_Train,System,TopK_Features,Additional_Features_Used,ARIMA_Enabled,Feature_Names,Selection_Rule
LR - Linear Regression,Alagnak,-0.141,1487090849057.1528,28.6168,-0.2334,4805437548278.007,57.8585,Bristol Bay,10,True,False,"Total_Returns, AgeClass_1.1, AgeClass_1.2, Total_Returns_Yminus1, Total_Returns_Yminus2, Total_Returns_Yminus3, Total_Returns_NextYear_Yminus1, Total_Returns_NextYear_Yminus2, Total_Returns_NextYear_Yminus3, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
LR - Linear Regression,Egegik,-0.2078,28908613965767.12,53.8044,0.1955,6199835596297.84,27.4467,Bristol Bay,6,False,True,"Total_Returns, AgeClass_1.2, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, River_Igushik",Rule 1: Stable R²
PR - Polynomial Regression,Igushik,0.2276,284890047023.933,20.135,0.6705,92041905444.2166,43.7991,Bristol Bay,10,False,False,"Total_Returns, AgeClass_1.2, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, AgeClass_3.2, River_Egegik, River_Igushik, River_Kvichak, River_Nushagak",Rule 1: Stable R²
PR - Polynomial Regression,Kvichak,0.3954,2508260095657.1304,11.1068,0.8385,4611868102902.28,43.8423,Bristol Bay,10,False,True,"Total_Returns, AgeClass_1.2, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, AgeClass_3.2, River_Egegik, River_Igushik, River_Kvichak, River_Nushagak",Rule 1: Stable R²
LR - Linear Regression,Naknek,0.4983,2338607216405.471,23.4653,0.169,2888756933669.1187,30.805,Bristol Bay,6,False,False,"Total_Returns, AgeClass_1.2, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, River_Igushik",Rule 1: Stable R²
XGB - XGBoost,Nushagak,0.3675,17227248763002.809,31.2661,0.8042,906354411756.1854,37.1105,Bristol Bay,0,False,False,"Total_Returns, AgeClass_0.1, AgeClass_0.2, AgeClass_0.3, AgeClass_0.4, AgeClass_0.5, AgeClass_1.1, AgeClass_1.2, AgeClass_1.3, AgeClass_1.4, AgeClass_1.5, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, AgeClass_2.4, AgeClass_3.1, AgeClass_3.2, AgeClass_3.3, AgeClass_3.4, npi_mean_NovMar, oni_mean_DecFeb, mei_mean_AprSep, npgo_mean_DecFeb, ao_mean_DecMar, pdo_mean_DecMar, pdo_mean_MaySep, sst_aprjul, sst_anom, River_Alagnak, River_Egegik, River_Igushik, River_Kvichak, River_Naknek, River_Nushagak, River_Ugashik, River_Wood",Rule 1: Stable R²
LR - Linear Regression,Ugashik,0.4867,2723590052946.353,23.5336,0.0394,2757910752400.4097,44.8783,Bristol Bay,10,True,True,"Total_Returns, AgeClass_1.1, AgeClass_1.2, Total_Returns_Yminus1, Total_Returns_Yminus2, Total_Returns_Yminus3, Total_Returns_NextYear_Yminus1, Total_Returns_NextYear_Yminus2, Total_Returns_NextYear_Yminus3, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
XGB - XGBoost,Wood,0.7366,821345860007.1853,7.4742,0.8601,2788410119657.4194,20.4333,Bristol Bay,6,True,True,"Total_Returns, AgeClass_1.2, Total_Returns_Yminus1, Total_Returns_NextYear_Yminus1, Total_Returns_NextYear_Yminus2, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
LR - Linear Regression,Bonneville Lock & Dam,0.6748,19010115322.2046,51.7378,0.8981,2867190408.8693,88.7421,Columbia River,6,True,True,"AgeClass_1.1, Total_Returns_Yminus1, Total_Returns_Yminus3, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus2, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
LR - Linear Regression,Chilko,0.1283,537973345612.6963,88.6312,0.0019,1322051436269.7131,79.9433,Fraser River,10,True,True,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_0.2_Yminus4, AgeClass_0.3_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, AgeClass_1.3_Yminus2, AgeClass_2.2_Yminus2, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
LR - Linear Regression,Late Stuart,0.4647,10562801194.5126,82.5399,0.6802,297673805381.3896,98.8923,Fraser River,6,True,False,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
XGB - XGBoost,Quesnel,0.7138,185984937354.1158,325.2514,0.9901,67368377751.4579,1300.9563,Fraser River,6,False,False,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft",Rule 1: Stable R²
LR - Linear Regression,Stellako,0.2887,97675228224.6336,72.4069,-0.0431,108749503813.2183,56.824,Fraser River,6,True,False,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
LR - Linear Regression,Raft,-0.8874,308381046.8584,191.6097,-10.5664,8845967949.1095,118.3402,Fraser River,6,True,False,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4",Rule 2: Fallback by MAPE
